         1190349 function calls (1189924 primitive calls) in 66.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      154    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/cookies.py:35(__init__)
       35    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/response.py:864(_raw_read)
     5330    0.001    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
       38    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/connectionpool.py:256(_get_conn)
      190    0.001    0.000    0.001    0.000 /usr/lib/python3.13/http/client.py:1294(putheader)
      795    0.000    0.000    0.001    0.000 /usr/lib/python3.13/email/_policybase.py:319(header_fetch_parse)
       38    0.000    0.000    0.001    0.000 /usr/lib/python3.13/http/client.py:261(__init__)
      135    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/urllib3/util/url.py:301(_normalize_host)
       10    0.000    0.000    0.001    0.000 /usr/lib/python3.13/urllib/robotparser.py:156(can_fetch)
      367    0.000    0.000    0.001    0.000 /usr/lib/python3.13/re/__init__.py:287(compile)
      388    0.000    0.000    0.001    0.000 /usr/lib/python3.13/urllib/parse.py:164(hostname)
    15737    0.001    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/bs4/element.py:2219(__bool__)
       76    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/utils.py:838(select_proxy)
       38    0.000    0.000    0.001    0.000 /home/guilherme13c/projects/simple-search-engine/crawler/venv/lib/python3.13/site-packages/requests/models.py:658(__init__)
      226    0.001    0.000    0.001    0.000 /usr/lib/python3.13/email/message.py:533(get_all)
